22-11-2023 09:21:02.426 [main] INFO  com.demo.ELK.ElkApplication.logStarting - Starting ElkApplication using Java 18.0.1 on DESKTOP-F8SM5EF with PID 22404 (C:\Users\daniela.sanchez\Downloads\ELK\target\classes started by daniela.sanchez in C:\Users\daniela.sanchez\Downloads\ELK)
22-11-2023 09:21:02.428 [main] INFO  com.demo.ELK.ElkApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
22-11-2023 09:21:03.227 [main] INFO  com.demo.ELK.ElkApplication.logStarted - Started ElkApplication in 1.237 seconds (JVM running for 1.498)
22-11-2023 09:24:38.437 [http-nio-8080-exec-5] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 09:24:38.439 [http-nio-8080-exec-5] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 09:24:38 COT 2023
22-11-2023 09:25:11.099 [http-nio-8080-exec-6] INFO  c.demo.ELK.controller.ELKController.foodDetails - Inside Food Detail Function
22-11-2023 09:25:11.099 [http-nio-8080-exec-6] INFO  com.demo.ELK.services.ELKService.getAllFoodDetails - Fetching ALL food details...
22-11-2023 09:55:58.882 [main] INFO  com.demo.ELK.ElkApplication.logStarting - Starting ElkApplication using Java 18.0.1 on DESKTOP-F8SM5EF with PID 17292 (C:\Users\daniela.sanchez\Downloads\ELK\target\classes started by daniela.sanchez in C:\Users\daniela.sanchez\Downloads\ELK)
22-11-2023 09:55:58.883 [main] INFO  com.demo.ELK.ElkApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
22-11-2023 09:55:59.805 [main] INFO  com.demo.ELK.ElkApplication.logStarted - Started ElkApplication in 1.556 seconds (JVM running for 1.979)
22-11-2023 09:56:19.991 [http-nio-8080-exec-1] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 09:56:19.993 [http-nio-8080-exec-1] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 09:56:19 COT 2023
22-11-2023 10:06:57.872 [http-nio-8080-exec-6] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 10:06:57.872 [http-nio-8080-exec-6] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 10:06:57 COT 2023
22-11-2023 10:53:18.307 [http-nio-8080-exec-8] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 10:53:18.308 [http-nio-8080-exec-8] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 10:53:18 COT 2023
22-11-2023 11:12:58.394 [http-nio-8080-exec-10] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 11:12:58.394 [http-nio-8080-exec-10] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 11:12:58 COT 2023
22-11-2023 11:15:23.324 [http-nio-8080-exec-4] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 11:15:23.325 [http-nio-8080-exec-4] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 11:15:23 COT 2023
22-11-2023 11:50:45.368 [http-nio-8080-exec-5] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 11:50:45.369 [http-nio-8080-exec-5] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 11:50:45 COT 2023
22-11-2023 11:50:51.778 [http-nio-8080-exec-8] INFO  c.demo.ELK.controller.ELKController.helloWorld - Inside Hello World Function
22-11-2023 11:50:51.778 [http-nio-8080-exec-8] INFO  c.demo.ELK.controller.ELKController.helloWorld - Response => Hello World! Wed Nov 22 11:50:51 COT 2023
